City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Byron Bay,AU,-28.65,153.6167,59.94,86,100,2.98,overcast clouds
322,Cherskiy,RU,68.75,161.3,22.93,78,100,8.25,overcast clouds
323,Dzilam Gonzalez,MX,21.2833,-88.9333,84.96,43,4,8.59,clear sky
324,San Rafael,AR,-34.6177,-68.3301,66.2,29,66,11.03,broken clouds
325,Bhanpura,IN,24.513,75.7469,77.95,81,99,6.73,overcast clouds
326,Provideniya,RU,64.3833,-173.3,39.87,96,100,15.73,light rain
327,Pasni,PK,25.2631,63.471,78.42,88,0,9.75,clear sky
328,Preston,GB,53.7667,-2.7167,54.9,82,4,21.79,clear sky
329,Longyearbyen,SJ,78.2186,15.6401,40.84,70,20,18.41,few clouds
330,Vila Velha,BR,-20.3297,-40.2925,76.95,83,75,8.05,broken clouds
331,Straubing,DE,48.8833,12.5667,56.34,84,83,4.41,broken clouds
332,Kodinsk,RU,58.6881,99.1844,33.49,99,100,4.47,light snow
333,Sredniy Ikorets,RU,51.0675,39.7584,45.19,89,23,10.27,few clouds
334,Brae,GB,60.3964,-1.353,50.07,84,85,33.89,light rain
335,Geilo,NO,60.5333,8.2076,45.39,85,99,9.6,light rain
336,Aasiaat,GL,68.7098,-52.8699,25.18,72,36,6.49,scattered clouds
337,Warrnambool,AU,-38.3833,142.4833,54.09,92,100,16.08,overcast clouds
338,Lunenburg,CA,44.3835,-64.3155,62.49,87,100,14.97,overcast clouds
339,Ust-Koksa,RU,50.2696,85.6108,35.29,63,92,1.63,overcast clouds
340,Verkhniye Tatyshly,RU,56.2912,55.8575,50.81,35,100,13.98,overcast clouds
341,Anori,BR,-3.7728,-61.6442,93.94,36,97,3.56,overcast clouds
342,College,US,64.8569,-147.8028,46.2,81,83,2.06,broken clouds
